
11520 atoms
2 atom types
   0.0000000000   80.0046997070 xlo xhi
   0.0000000000   16.8663997650 ylo yhi
   0.0000000000   77.4965972900 zlo zhi
   0.0000000000    0.0000000000    0.0000000000 xy xz yz

Masses

1 58.690000
2 16.000000

Atoms # spin

    42      1   64.67980000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    43      1   78.01418000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    44      1   78.01418000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    45      1   58.01301000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    46      1   58.01301000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    47      1   71.34660000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    48      1   71.34660000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    49      1   9.34295000 	8.42122000 	0.67383000        -0.51638874 -0.81647984 -0.25826989  1.2737
    50      1   9.34295000 	16.85442000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    51      1   22.67733000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    52      1   22.67733000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    53      1   16.01054000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    54      1   16.01054000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    55      1   2.67616000 	8.42122000 	0.67383000        -0.51638874 -0.81647984 -0.25826989  1.2737
    56      1   2.67616000 	16.85442000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    57      1   36.01172000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    58      1   36.01172000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    59      1   49.34530000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    60      1   49.34530000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    61      1   42.67851000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    62      1   42.67851000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    63      1   29.34412000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    64      1   29.34412000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    65      1   62.67968000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    66      1   62.67968000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    67      1   76.01406000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    68      1   76.01406000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    69      1   69.34647000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    70      1   69.34647000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    71      1   56.01289000 	8.42122000 	0.67383000      -0.51638874 -0.81647984 -0.25826989  1.2737
    72      1   56.01289000 	16.85442000 	0.67383000    -0.51638874 -0.81647984 -0.25826989  1.2737
    73      1   14.01042000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    74      1   14.01042000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    75      1   0.67604000 	6.31292000 	1.34030000        -0.51638874 -0.81647984 -0.25826989  1.2737
